"","Original Est.","Bootstrap Mean","Bootstrap SD","T Stat.","2.5% CI","97.5% CI"
"comp_1  ->  COMP",0.857718793612679,0.857652127931978,0.0207346918069525,41.3663632716778,0.812535297186933,0.895019185052813
"comp_2  ->  COMP",0.798452554490989,0.796822541454385,0.0288152971420745,27.7093291994943,0.73001016734256,0.842866888767574
"comp_3  ->  COMP",0.817641078136601,0.814094035562831,0.0311528750130377,26.2460873288392,0.746223012700554,0.865529744456194
"like_1  ->  LIKE",0.87932632635,0.879677115608798,0.0172118606752997,51.0883943891028,0.8425527178052,0.909654157793533
"like_2  ->  LIKE",0.870239287241134,0.868566625056656,0.0183486910502896,47.4278674623714,0.830019115184538,0.900239753856606
"like_3  ->  LIKE",0.843036435751,0.841894931213078,0.0203548193470439,41.4170433732408,0.798546007506748,0.878762238656235
"cusa  ->  CUSA",1,1,1.03248644073356e-16,NA,1,1
"cusl_1  ->  CUSL",0.832827190569312,0.831662374389794,0.0235720385458107,35.3311483413184,0.780245654569095,0.873688728906671
"cusl_2  ->  CUSL",0.917273194577698,0.917053957950154,0.0103211070344858,88.8735279571096,0.89411086486504,0.935441580855988
"cusl_3  ->  CUSL",0.842769528242402,0.841757460915116,0.0226954361554311,37.133876717356,0.79281987799942,0.881050914250823
